kind,id,old_path,new_path,old_sha256,status,notes
tool,cursor-cloud-agent,documentation/tools/integrations/cursor-cloud-agent.md,artifacts/tools/cursor-cloud-agent/ARTIFACT.md,09a13439cb617bcb,migrated,new sha=5264c81959144c4a…
tool,chroma-local,documentation/tools/integrations/chroma-local.md,artifacts/tools/chroma-local/ARTIFACT.md,5fcb6fe6c7bfe96e,migrated,new sha=076bfde0cf9ee949…
tool,methodology-api,documentation/tools/backend-api.md,artifacts/tools/methodology-api/ARTIFACT.md,03b8d562e5fedfa6,migrated,new sha=d7dbffeeeaccfa91…
tool,snyk,documentation/tools/integrations/snyk.md,artifacts/tools/snyk/ARTIFACT.md,c221542a0040522c,migrated,new sha=13d7c7fde0feedbe…
collection,web-application,documentation/collections/web-application.md,artifacts/collections/web-application/ARTIFACT.md,b3e64ca81a8e2327,migrated,new sha=ca77b821f6b99fdb…
collection,api-backend,documentation/collections/api-backend.md,artifacts/collections/api-backend/ARTIFACT.md,6846dfbd55314a1a,migrated,new sha=63cd860effbeae84…
collection,adoption-minimum,documentation/collections/adoption-minimum.md,artifacts/collections/adoption-minimum/ARTIFACT.md,3407870c3a057f5f,migrated,new sha=4da562b4df39d35f…
collection,agent-rules-cursor,documentation/collections/agent-rules-cursor.md,artifacts/collections/agent-rules-cursor/ARTIFACT.md,8709ab4826579eed,migrated,new sha=f3d476298e856989…
collection,agent-rules-codex,documentation/collections/agent-rules-codex.md,artifacts/collections/agent-rules-codex/ARTIFACT.md,85b9274c25b7e99f,migrated,new sha=ae8789060b16045a…
collection,agent-rules-claude,documentation/collections/agent-rules-claude.md,artifacts/collections/agent-rules-claude/ARTIFACT.md,06cf7b7a2c6bea93,migrated,new sha=43a9eecfee864705…
collection,agent-rules-aider,documentation/collections/agent-rules-aider.md,artifacts/collections/agent-rules-aider/ARTIFACT.md,4edb15a7f066f2a7,migrated,new sha=4f4861c607968db4…
collection,agent-rules-cline,documentation/collections/agent-rules-cline.md,artifacts/collections/agent-rules-cline/ARTIFACT.md,1642b70d036ec0a0,migrated,new sha=08677df29b645139…
collection,agent-rules-continue,documentation/collections/agent-rules-continue.md,artifacts/collections/agent-rules-continue/ARTIFACT.md,855b5bb019a5255a,migrated,new sha=2b8403c2a1a881ed…
collection,agent-rules-windsurf,documentation/collections/agent-rules-windsurf.md,artifacts/collections/agent-rules-windsurf/ARTIFACT.md,66ec7eacda0f41e7,migrated,new sha=de695a4088423bbe…
collection,agent-rules-zed,documentation/collections/agent-rules-zed.md,artifacts/collections/agent-rules-zed/ARTIFACT.md,5eee50b02cb51c8d,migrated,new sha=f56ef85c3f9df673…
collection,agent-rules-gemini,documentation/collections/agent-rules-gemini.md,artifacts/collections/agent-rules-gemini/ARTIFACT.md,4f640b164dc0fd92,migrated,new sha=5d822a3ff6e22f91…
collection,agent-rules-opencode,documentation/collections/agent-rules-opencode.md,artifacts/collections/agent-rules-opencode/ARTIFACT.md,fbb63a63104a37d3,migrated,new sha=5be8039c55283d71…
collection,agent-rules-copilot,documentation/collections/agent-rules-copilot.md,artifacts/collections/agent-rules-copilot/ARTIFACT.md,c1fa504c0963aa3f,migrated,new sha=3e2c30846dfb56e4…
collection,agent-rules-cursor-cloud,documentation/collections/agent-rules-cursor-cloud.md,artifacts/collections/agent-rules-cursor-cloud/ARTIFACT.md,4001871b8e65cc80,migrated,new sha=865ffb56f61cae07…
collection,agent-rules-agents-md,documentation/collections/agent-rules-agents-md.md,artifacts/collections/agent-rules-agents-md/ARTIFACT.md,747835cca260d644,migrated,new sha=db59b590200f7c00…
collection,agent-rules-claude-md,documentation/collections/agent-rules-claude-md.md,artifacts/collections/agent-rules-claude-md/ARTIFACT.md,f6e33d9b0d9de1d4,migrated,new sha=d02931c5717ab941…
collection,preset-web-app,documentation/collections/preset-web-app.md,artifacts/collections/preset-web-app/ARTIFACT.md,1e8a277cf352344c,migrated,new sha=dbb16b3975745757…
collection,preset-api-backend,documentation/collections/preset-api-backend.md,artifacts/collections/preset-api-backend/ARTIFACT.md,df73bb34f2b30c62,migrated,new sha=1d50bf7bc3d65f86…
collection,preset-mobile-app,documentation/collections/preset-mobile-app.md,artifacts/collections/preset-mobile-app/ARTIFACT.md,1012e0d695111769,migrated,new sha=2ded20be901ab487…
collection,preset-cli,documentation/collections/preset-cli.md,artifacts/collections/preset-cli/ARTIFACT.md,896a617c3a097104,migrated,new sha=9d8709c72173fb88…
collection,preset-monorepo,documentation/collections/preset-monorepo.md,artifacts/collections/preset-monorepo/ARTIFACT.md,467254a5185f3aff,migrated,new sha=288dd4e61ed2645a…
collection,preset-adoption-minimum,documentation/collections/preset-adoption-minimum.md,artifacts/collections/preset-adoption-minimum/ARTIFACT.md,a5cdbc8142f4e5b5,migrated,new sha=5fc43279d103318d…
collection,addendum-pharma,documentation/collections/addendum-pharma.md,artifacts/collections/addendum-pharma/ARTIFACT.md,e51923549b8ecad2,migrated,new sha=7b62331c893a5b4f…
